,accuracy,loss,val_accuracy,val_loss
0,0.9708928465843201,0.09034839272499084,0.9317857027053833,0.13591675460338593
1,1.0,0.0001845514343585819,1.0,0.0007576321950182319
2,0.9984821677207947,0.007390087470412254,0.9982143044471741,0.006253551691770554
3,0.9993749856948853,0.0022055828012526035,1.0,6.097818641137565e-07
4,1.0,1.574513407831546e-05,1.0,3.2313707265529956e-07
5,1.0,6.817324447183637e-06,1.0,1.8881696917105728e-07
6,1.0,8.539191185263917e-06,1.0,1.0200854205777432e-07
7,1.0,8.959522347140592e-06,1.0,5.6624244848535454e-08
8,1.0,3.7350921502365964e-06,1.0,3.848748875157071e-08
9,1.0,3.3747853649401804e-06,1.0,2.5587386431880077e-08
10,1.0,4.194352641206933e-06,1.0,1.6220962351098933e-08
11,1.0,4.929777333018137e-06,1.0,1.0899128710661898e-08
12,1.0,1.2890502603113418e-06,1.0,8.3020710306414e-09
13,1.0,6.461901648435742e-06,1.0,3.576277940453565e-09
14,1.0,1.7078881455745432e-06,1.0,1.5326907520929467e-09
15,1.0,2.280716273617145e-07,1.0,1.0217938717360653e-09
16,1.0,7.227846481328015e-07,1.0,7.663453760464733e-10
17,1.0,1.177996978185547e-06,1.0,5.108969358680326e-10
18,1.0,2.658524920207128e-07,1.0,5.108969358680326e-10
19,1.0,1.394293803969049e-06,1.0,0.0
20,1.0,1.7821058690969949e-06,1.0,5.108969358680326e-10
21,1.0,1.985145274829847e-07,1.0,5.108969358680326e-10
22,1.0,3.100620347140648e-07,1.0,0.0
23,1.0,3.38340925054581e-07,1.0,0.0
24,1.0,1.6527030766155804e-07,1.0,0.0
25,1.0,7.230167284433264e-06,1.0,4.683221588308584e-10
26,1.0,4.830203579331283e-07,1.0,2.554484679340163e-10
27,1.0,8.621535130259872e-07,1.0,2.1287370477462986e-10
28,1.0,7.990176413841255e-07,1.0,0.0
29,1.0,6.389695772668347e-05,1.0,6.641653449435125e-09
30,1.0,1.204272280119767e-06,1.0,1.0217938717360653e-09
31,1.0,1.8446107219460828e-07,1.0,5.108969358680326e-10
32,1.0,2.549699900100677e-07,1.0,2.554484679340163e-10
33,1.0,2.377533832031986e-07,1.0,2.554484679340163e-10
34,0.9969642758369446,0.05825905501842499,1.0,0.0
35,0.9998214244842529,0.00025433130213059485,1.0,0.0
36,1.0,2.110816467393306e-06,1.0,0.0
37,0.9997321367263794,0.0009345031576231122,1.0,6.1307550147660095e-09
38,1.0,1.7411689441360068e-06,1.0,0.0
39,1.0,1.6006763914333533e-08,1.0,0.0
